Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-165.133	0	-165.133	37.2822	0.0821367	0.178003	0.0441969	0.248572	0.0110454	0.079532	0.289951	0.0273273	0.0625569	0.0563814	0.0245915	0.00964559	0.0639703	0.0450973	0.0501539	0.26578	0.266471	0.038407	0.111816	0.120388	0.0906392	0.152388	0.15671	0.0878988	0.0173625	0.0340002	0.0631695	0.141417	0.0673094	0.0978985	0.159581	0.190344	0.0389722	0.0398133	0.0646918	0.0180316	0.0693818	0.082583	0.0259663	0.0157537	0.290811	0.0869045	0.185403	0.0318004	0.00818265	0.0663885	0.318514	0.048929	0.526186	0.80018	0.939445	1.04525	1.21512	0.11738	0.309694	0.154171	0.418755	4.25305
110	-169.513	0	-169.513	6.69745	0.353583	0.178003	0.0252551	0.0775706	0.0110454	0.219968	0.289951	0.0273273	0.00125622	0.0563814	0.0172864	0.0376473	0.0560746	0.0330124	0.102957	0.0344569	0.227487	0.038407	0.0171639	0.120388	0.201426	0.12735	0.0989775	0.0878988	0.100205	0.0340002	0.0250733	0.211298	0.0186715	0.0978985	0.21801	0.0322403	0.0335124	0.0701424	0.297153	0.17899	0.0429855	0.082583	0.095649	0.108357	0.283362	0.0408058	0.118127	0.164545	0.00360383	0.185644	0.140281	0.100498	0.405428	0.560245	0.835863	1.07966	1.52423	0.040173	0.421756	0.20835	0.329721	4.52994
120	-152.537	0	-152.537	3.05001	0.0655819	0.0694945	0.0649796	0.0283656	0.0398159	0.219968	0.289951	0.163527	0.0242374	0.0427593	0.0679635	0.00316638	0.0560746	0.00202887	0.102957	0.0660171	0.0589393	0.0479912	0.0312536	0.00838009	0.110411	0.0941199	0.0989775	0.0889238	0.152	0.0629674	0.0594214	0.211298	0.0510434	0.0125065	0.130277	0.00511191	0.0366745	0.00801256	0.297153	0.209785	0.0894557	0.00112474	0.0188699	0.00243876	0.283362	0.0408058	0.0698644	0.289282	0.00179316	0.0908338	0.158736	0.123178	0.336177	0.393094	0.73426	1.08275	1.78989	0.0853007	0.318467	0.264903	0.331329	3.58806
130	-154.289	0	-154.289	3.49757	0.112804	0.0529441	0.0649796	0.0409563	0.0398159	0.0768499	0.142058	0.111545	0.0242374	0.0135956	0.0249561	0.00095559	0.0433696	0.00202887	0.346156	0.0660171	0.0629551	0.00354991	0.00241476	0.0834181	0.110411	0.0490831	0.0989775	0.0783522	0.0270163	0.152525	0.0594214	0.211298	0.150197	0.118645	0.130277	0.0471932	0.117987	0.00801256	0.0595409	0.0673077	0.0835852	0.00325301	0.0188699	0.0696859	0.321214	0.0569347	0.0698644	0.0729656	0.0188805	0.270634	0.211395	0.0721129	0.354012	0.424434	0.755821	1.08407	1.73567	0.0735706	0.454027	0.209886	0.262516	3.42526
140	-156.938	0	-156.938	43.9025	0.0663441	0.0529441	0.0869757	0.0409563	0.0407456	0.0768499	0.227808	0.06791	0.0702842	0.13512	0.0249561	0.0161207	0.0433696	0.00529706	0.0688875	0.040685	0.0898187	0.0135622	0.0252555	0.00425928	0.153529	0.0667847	0.0989775	0.00892354	0.0210073	0.240534	0.0459186	0.185252	0.00860688	0.0427418	0.350158	0.0028246	0.103764	0.0703492	0.263121	0.0673077	0.0835852	0.0777059	0.0425177	0.0696859	0.184602	0.0569347	0.00938013	0.169805	0.0038976	0.0844268	0.112682	0.0888587	0.540331	0.815212	0.944712	1.04229	1.19779	0.211686	0.17398	0.347133	0.267201	3.45236
150	-160.328	0	-160.328	10.2788	0.243652	0.0529441	0.00712541	0.0409563	0.0407456	0.00241084	0.227808	0.142402	0.0702842	0.0555975	0.0312331	0.0923225	0.187549	0.0268394	0.0688875	0.040685	0.104656	0.0302668	0.177589	0.0158878	0.153529	0.0596422	0.0989775	0.28622	0.0739443	0.240534	0.0486304	0.185252	0.0699319	0.00287912	0.290154	0.0340095	0.00132861	0.141646	0.0462928	0.0336745	0.0835852	0.0234631	0.0425177	0.0696859	0.165356	0.121117	0.0270675	0.0305297	0.010994	0.148574	0.244184	0.155985	0.409733	0.635994	0.872977	1.07178	1.41925	0.30085	0.232013	0.185694	0.281443	3.95928
160	-150.707	0	-150.707	35.0162	0.176329	0.0529441	0.0347062	0.0767447	0.0578956	0.199	0.185938	0.0620445	0.0256294	0.0633188	0.0312331	0.0314111	0.187549	0.219653	0.148706	0.0154222	0.158289	0.0171784	0.155757	0.0415909	0.153529	0.0943719	0.206795	0.301979	0.0178192	0.240534	0.0486304	0.0221121	0.00823841	0.00287912	0.00724145	0.0527892	0.0734881	0.136136	0.0462928	0.0336745	0.0419243	0.0025564	0.00267795	0.0519264	0.165356	0.0218004	0.0299669	0.0523046	0.037341	0.05902	0.386925	0.133364	0.331046	0.794113	0.937284	1.04642	1.22218	0.0816199	0.338727	0.249809	0.329844	3.70406
170	-156.717	0	-156.717	3.20618	0.103435	0.0682855	0.0347062	0.0767447	0.0578956	0.156798	0.185938	0.0620445	0.0256294	0.0753567	0.024575	0.00367093	0.134418	0.126784	0.0776652	0.0154222	0.1767	0.0543495	0.0209191	0.0772454	0.153529	0.0943719	0.110781	0.301979	0.141778	0.0642185	0.111963	0.0221121	0.152689	0.0841025	0.168159	0.0545215	0.0734881	0.00327861	0.0462928	0.0221339	0.1815	0.00218646	0.00478649	0.00330041	0.11092	0.0635138	0.0299669	0.108487	0.0584231	0.0547999	0.431073	0.167383	0.179834	0.404609	0.74234	1.08336	1.76969	0.0811857	0.246486	0.207116	0.465213	3.56015
180	-165.262	0	-165.262	20.9452	0.207636	0.0682855	0.0347062	0.262579	0.0578956	0.156798	0.200108	0.14011	0.0545703	0.0366432	0.0369151	0.0529749	0.134418	0.126784	0.224917	0.00854555	0.1767	0.0136347	0.0113143	0.0885025	0.0114956	0.0943719	0.0819829	0.288816	0.141778	0.0508609	0.076359	0.113117	0.0930035	0.0108399	0.0127859	0.0326791	0.00158325	0.0356875	0.292094	0.0173007	0.0867184	0.0281825	0.017076	0.00793021	0.0970206	0.193913	0.191704	0.0275252	0.0884102	0.0209097	0.269708	0.0638676	0.529579	0.73753	0.916098	1.0567	1.28967	0.158054	0.40398	0.158091	0.279875	4.07134
190	-164.289	0	-164.289	12.5141	0.0686976	0.0682855	0.0347062	0.00334211	0.091388	0.177105	0.484278	0.0339792	0.0545703	0.0444296	0.0372543	0.17614	0.134418	0.126784	0.0757642	0.0263091	0.1767	0.0136347	0.0113143	0.0885025	0.0822324	0.0764929	0.0819829	0.288816	0.141778	0.0454472	0.076359	0.0650775	0.156623	0.0922937	0.0151127	0.0991867	0.051592	0.0356875	0.117215	0.0849902	0.0998636	0.025924	0.0651859	0.0728222	0.0765263	0.199023	0.0695678	0.0298948	0.116293	0.0258274	0.387583	0.0636981	0.376704	0.667003	0.886894	1.06767	1.37843	0.189583	0.299004	0.171436	0.339977	4.0474
