Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13164.5	-13085	-79.5405	0.253494	0.396259	0.0360932	0.158405	0.274656	0.186797	0.146063	0.335998	0.390279	0.203169	0.381018	0.30816	0.470656	0.29483	0.249662	0.18424	0.281112	0.187989	0.433418	0.29402	0.415326	0.330373	0.419343	0.250428	0.0253395	0.128472	0.100809	0.394891	0.150696	0.133594	0.00601296	0.0599234	0.12276	0.0254488	0.275842	0.10088	0.0994696	0.249403	0.247542	0.148831	0.045723	0.399887	0.166458	0.353933	0.0130808	0.494036	0.0253217	0.0308251	0.341992	0.0947447	0.00227859	0.0692243	0.508795	3.4197	0.362763	0.368042	0.0523228	0.216873	9.86421
110	-13168.9	-13099	-69.936	0.252594	0.321158	0.0904397	0.164907	0.195194	0.1874	0.145146	0.25	0.329891	0.204206	0.334395	0.368695	0.373054	0.260062	0.305907	0.165603	0.2074	0.186872	0.474945	0.248694	0.363717	0.302355	0.510456	0.176796	0.0548989	0.09182	0.0954482	0.112025	0.155219	0.0625703	0.0764233	0.0994401	0.0654944	0.0254488	0.198668	0.0784908	0.0992467	0.262935	0.144656	0.0563576	0.0681251	0.479313	0.152209	0.3577	0.0160372	0.498774	0.0310446	0.0483533	0.332181	0.0736096	0.00223485	0.0685694	0.506924	3.42227	0.361236	0.366492	0.0563116	0.21596	8.90378
120	-13154.4	-13091.3	-63.1598	0.267119	0.337864	0.0309665	0.101888	0.176952	0.194427	0.145436	0.274401	0.282319	0.173568	0.285953	0.347477	0.462687	0.314288	0.260462	0.146933	0.195777	0.158824	0.480427	0.196212	0.289732	0.261315	0.435564	0.115654	0.0279016	0.168919	0.0954482	0.196093	0.104218	0.129339	0.0565633	0.0768446	0.0799272	0.0254488	0.219051	0.130155	0.0988791	0.214785	0.180845	0.0683923	0.0407136	0.229632	0.103219	0.31037	0.015421	0.536539	0.0246485	0.0464955	0.319418	0.0574786	0.00300737	0.079302	0.536224	3.38147	0.37568	0.353357	0.0560408	0.214922	8.22587
130	-13153.4	-13085.3	-68.0739	0.25697	0.440805	0.0666699	0.143619	0.179334	0.177679	0.119368	0.277168	0.292873	0.212664	0.317085	0.384328	0.462837	0.295779	0.226055	0.125776	0.298017	0.201753	0.473999	0.166596	0.326423	0.287532	0.344702	0.0995385	0.0279016	0.190723	0.0627668	0.353511	0.0960677	0.129339	0.0565633	0.050622	0.0799272	0.0415844	0.265404	0.141124	0.0988791	0.214785	0.186939	0.111233	0.0331772	0.357653	0.0527299	0.245953	0.0160279	0.507845	0.0256186	0.0323718	0.331988	0.0861483	0.00245261	0.0717673	0.515955	3.40983	0.366405	0.369322	0.0546572	0.209616	8.71748
140	-13156.2	-13088.6	-67.5951	0.261675	0.394841	0.0796801	0.133757	0.115256	0.229245	0.114971	0.285646	0.285842	0.192759	0.389328	0.313786	0.446377	0.349856	0.266528	0.144996	0.349538	0.182875	0.390238	0.242377	0.261464	0.225752	0.473985	0.122551	0.0253855	0.208751	0.126943	0.409002	0.098642	0.047406	0.0722474	0.0613706	0.0784279	0.0415844	0.21747	0.125527	0.0969046	0.214785	0.142095	0.0690502	0.0966433	0.194037	0.0527299	0.298863	0.0169555	0.480987	0.0275898	0.0371085	0.377519	0.0598406	0.00270111	0.0752415	0.525468	3.39659	0.361063	0.371747	0.0561976	0.210992	8.66951
150	-13160.2	-13089.5	-70.6922	0.244431	0.399088	0.0439549	0.214333	0.21241	0.137088	0.132098	0.314202	0.394528	0.276258	0.324841	0.264549	0.430084	0.38164	0.357101	0.116388	0.273757	0.177519	0.568258	0.171575	0.323806	0.281976	0.454526	0.144897	0.0115658	0.0838949	0.0269679	0.24058	0.0771544	0.047406	0.0224382	0.10943	0.107383	0.0148652	0.291734	0.0998101	0.0969046	0.243649	0.158149	0.081984	0.109729	0.305482	0.151528	0.304033	0.0158913	0.500415	0.0255246	0.0319042	0.374817	0.0514482	0.00186227	0.0626983	0.489592	3.44585	0.365683	0.363787	0.0568382	0.213692	8.97957
160	-13158.1	-13085.1	-73.009	0.253005	0.371769	0.0986767	0.152813	0.205029	0.217534	0.0768923	0.350524	0.353097	0.237735	0.396355	0.391261	0.373766	0.270864	0.357101	0.18329	0.273757	0.261645	0.51675	0.146848	0.394339	0.348343	0.462506	0.112196	0.0312605	0.115038	0.0778143	0.464545	0.10092	0.0559898	0.0358279	0.10943	0.0837266	0.0603677	0.216312	0.0923144	0.0346718	0.230728	0.12817	0.108984	0.068254	0.315415	0.0785373	0.249676	0.0195239	0.403143	0.0317103	0.0296749	0.443085	0.0728628	0.00225476	0.0688683	0.507779	3.4211	0.374472	0.362483	0.0569758	0.206069	9.21107
170	-13156.6	-13085.3	-71.2699	0.25356	0.372955	0.0946337	0.134067	0.221943	0.193202	0.164047	0.292445	0.278553	0.19592	0.331012	0.429387	0.382586	0.25998	0.333891	0.205667	0.327014	0.173816	0.495186	0.24824	0.349441	0.281392	0.496246	0.151995	0.010011	0.163609	0.100674	0.331378	0.0937867	0.12912	0.0583029	0.0630026	0.0837266	0.0710403	0.221328	0.0898915	0.0688584	0.139615	0.244544	0.0756715	0.0740276	0.278512	0.098136	0.228294	0.0191763	0.419129	0.0271105	0.0198601	0.435197	0.0795269	0.00228186	0.069273	0.508934	3.41951	0.37049	0.369262	0.0563699	0.203877	9.03715
180	-13158.5	-13086.8	-71.7488	0.266134	0.412944	0.0946337	0.184182	0.164403	0.212007	0.165649	0.297587	0.353373	0.211169	0.303418	0.303651	0.468491	0.374842	0.333891	0.0833983	0.209746	0.215743	0.380749	0.213884	0.26287	0.381582	0.582317	0.136653	0.0313283	0.134056	0.106053	0.307353	0.102318	0.126269	0.0671959	0.09566	0.103825	0.0200617	0.207629	0.0761982	0.0662826	0.273944	0.20074	0.062373	0.0978439	0.315345	0.106774	0.236363	0.0169334	0.483852	0.0239397	0.035105	0.366041	0.0741293	0.00295049	0.0785646	0.534299	3.38419	0.356926	0.367062	0.0542287	0.221783	9.0848
190	-13152.6	-13079.8	-72.8284	0.257708	0.368525	0.0667619	0.193143	0.166094	0.216841	0.199639	0.298561	0.360936	0.267182	0.309641	0.366539	0.483599	0.291982	0.313185	0.155899	0.265116	0.183784	0.471219	0.200779	0.312946	0.298331	0.62591	0.126012	0.0403211	0.129212	0.0871957	0.35844	0.102318	0.1191	0.0671959	0.0944256	0.079415	0.0200617	0.240617	0.116805	0.0593885	0.25736	0.123132	0.0825077	0.108178	0.319807	0.0337057	0.211109	0.0169484	0.483396	0.0239608	0.035136	0.366364	0.0741948	0.00249063	0.0723102	0.517461	3.40774	0.361616	0.365703	0.0549412	0.217739	9.19292
