Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15732.4	-15716.1	-16.3062	0.0812263	0.106224	0.107751	0.066735	0.1306	0.0939002	0.085343	0.160196	0.0981866	0.0667829	0.0828979	0.128529	0.0680109	0.0909856	0.128999	0.126732	0.16608	0.0859772	0.0951147	0.125984	0.0687447	0.100456	0.0996925	0.0255131	0.0664071	0.0243678	0.0401888	0.015677	0.0481149	0.0245898	0.0270232	0.011122	0.0152087	0.0478392	0.032551	0.0629791	0.0310261	0.0193302	0.0436616	0.0343559	0.0191834	0.0357012	0.0588828	3.04887
110	-15720.4	-15705.3	-15.0445	0.071516	0.104413	0.106708	0.0537821	0.117401	0.096576	0.0823456	0.111705	0.097392	0.0857862	0.0634522	0.129601	0.0650534	0.101296	0.105592	0.114627	0.178207	0.0806313	0.0892551	0.134529	0.062564	0.0915168	0.0727147	0.016301	0.0692548	0.0331074	0.0200845	0.0148409	0.0508896	0.045548	0.0211535	0.027875	0.0247249	0.0526859	0.0184901	0.0744395	0.0276024	0.0256218	0.0423811	0.0389599	0.0212383	0.0348384	0.0459998	2.9227
120	-15726.3	-15710.1	-16.1666	0.0977836	0.132139	0.0962626	0.0897847	0.124766	0.10886	0.0673111	0.105157	0.087116	0.0815554	0.0805737	0.157384	0.0881982	0.116227	0.115154	0.103391	0.148854	0.0899334	0.104362	0.12075	0.0441836	0.0915168	0.0850957	0.0184636	0.0735447	0.0329572	0.0275124	0.00969672	0.0508896	0.0360188	0.028891	0.0160506	0.0132326	0.0458347	0.0281158	0.0742977	0.030547	0.0204646	0.0460138	0.0334065	0.034396	0.0338855	0.0443423	3.03492
130	-15724.4	-15708.2	-16.2047	0.0977836	0.100065	0.12455	0.0909566	0.120864	0.107329	0.0707073	0.123923	0.0867562	0.078241	0.0861707	0.117872	0.0737568	0.0919755	0.105249	0.0906011	0.161827	0.0824099	0.105404	0.130865	0.0480902	0.0918755	0.0728069	0.0218711	0.0562031	0.031669	0.0275638	0.017603	0.0587167	0.047106	0.0318725	0.0336724	0.034422	0.0456071	0.0165215	0.0759076	0.0238652	0.0371633	0.0468767	0.0372844	0.0436453	0.0322087	0.0588635	3.03872
140	-15729.7	-15714	-15.6884	0.0911101	0.109599	0.0995281	0.0648428	0.158931	0.0844509	0.0704466	0.132474	0.106571	0.0776034	0.0737044	0.108959	0.080226	0.0912079	0.103106	0.12777	0.16424	0.0641416	0.117704	0.112935	0.0536423	0.10941	0.0771105	0.0188365	0.0685359	0.0279297	0.0259438	0.0179768	0.0318975	0.0371328	0.0302589	0.0200695	0.0376001	0.0478727	0.0312058	0.0689118	0.0441517	0.0245006	0.0410227	0.0337765	0.0108449	0.0492716	0.0396428	2.98709
150	-15723.7	-15707.7	-15.9828	0.0911101	0.101807	0.119595	0.0872087	0.112934	0.0790849	0.0677073	0.115268	0.0959842	0.0980024	0.0845716	0.119465	0.0847132	0.0880679	0.10888	0.108871	0.16621	0.0807011	0.117466	0.130884	0.0652139	0.101438	0.0923577	0.0218357	0.0609648	0.0200264	0.0259438	0.0204067	0.0374454	0.037436	0.0314294	0.0235745	0.0331393	0.0617466	0.0256164	0.0842577	0.0265607	0.0328684	0.0270044	0.0357173	0.00887393	0.0351234	0.0490213	3.01653
160	-15723.3	-15706.3	-16.9892	0.0853527	0.110024	0.131361	0.0647998	0.120857	0.0951371	0.0765616	0.113284	0.107386	0.0842324	0.0935921	0.155549	0.0770871	0.0934703	0.116817	0.120713	0.186258	0.0787048	0.108669	0.143383	0.0535749	0.0830061	0.0893929	0.035634	0.0518545	0.0363903	0.0213401	0.0225281	0.0529414	0.0547473	0.0234904	0.018113	0.0180775	0.0670635	0.0286281	0.0744896	0.0228197	0.0162284	0.0280185	0.0353461	0.025709	0.0472086	0.0473334	3.11717
170	-15725.4	-15708.8	-16.6444	0.0962364	0.103208	0.119433	0.0575727	0.122369	0.0911593	0.0773376	0.131471	0.108802	0.089743	0.0855534	0.150579	0.0799924	0.0934703	0.108909	0.139896	0.13845	0.0913148	0.122821	0.118919	0.0748392	0.0948912	0.0931413	0.0241156	0.0461956	0.0237681	0.027412	0.0119312	0.0380423	0.0414435	0.0197223	0.0257662	0.0209413	0.0624968	0.0282922	0.0773326	0.0203754	0.02886	0.0467527	0.0358304	0.0242659	0.0540531	0.034993	3.0827
180	-15723.5	-15706.8	-16.7334	0.0921438	0.105453	0.111445	0.0762244	0.115172	0.0993176	0.0831989	0.112105	0.102661	0.0748812	0.0926143	0.175204	0.0843084	0.0894512	0.105917	0.11784	0.170011	0.0765757	0.123101	0.147211	0.0595171	0.10156	0.0755518	0.011326	0.0670313	0.0417136	0.0244388	0.0209838	0.0448482	0.0378401	0.0336626	0.0363593	0.00980985	0.053601	0.0132617	0.0870919	0.0203754	0.0274826	0.0254975	0.0363773	0.0186632	0.0411082	0.0486592	3.0916
190	-15725.3	-15708.6	-16.7671	0.0886007	0.10019	0.0997435	0.0723311	0.128037	0.100388	0.0749344	0.139375	0.0995074	0.084143	0.0817573	0.152749	0.0939879	0.087786	0.122256	0.111938	0.144897	0.0816934	0.094293	0.123841	0.0647553	0.104016	0.076186	0.0277844	0.0663004	0.0281671	0.0263719	0.0151845	0.0541666	0.0364658	0.0298159	0.0334259	0.03005	0.0366145	0.0250954	0.0932272	0.0252573	0.0277574	0.0398199	0.0363773	0.0202385	0.0509901	0.0644513	3.09497
200	-15727.1	-15711	-16.067	0.0886007	0.0941608	0.0990771	0.0668641	0.140263	0.0984828	0.084389	0.128245	0.0868266	0.0684331	0.0692596	0.135742	0.076007	0.0916933	0.125513	0.116465	0.179782	0.0806381	0.103272	0.14553	0.0899924	0.098111	0.07174	0.0175905	0.0662545	0.038339	0.0149796	0.010143	0.0386863	0.0508633	0.0225377	0.0217258	0.0389709	0.043446	0.0238881	0.0795481	0.0299973	0.0293241	0.0375507	0.0360738	0.0103815	0.0313365	0.0442299	3.02495
210	-15734.5	-15718.9	-15.5911	0.0941029	0.0986433	0.0921057	0.0640481	0.142421	0.0983064	0.0737895	0.12236	0.1038	0.0749047	0.0633039	0.135742	0.0740414	0.111495	0.108428	0.109887	0.191994	0.0668163	0.12505	0.151415	0.0499326	0.0752968	0.0834297	0.0250839	0.0548874	0.0347099	0.0174447	0.0193704	0.0329294	0.0324043	0.0242064	0.0312372	0.0463927	0.0401727	0.0233385	0.0686109	0.0318397	0.0293241	0.0317604	0.0371078	0.0125255	0.0430777	0.0296296	2.97737
