Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-13163.9	-13080.6	-83.3355	0.249639	0.360776	0.100886	0.153509	0.185193	0.205168	0.202336	0.374862	0.338415	0.244855	0.362601	0.399165	0.493902	0.364892	0.375389	0.181185	0.376728	0.249407	0.624906	0.331285	0.24786	0.313677	0.532668	0.165243	0.204568	0.263191	0.0031814	0.102676	0.0436142	0.160963	0.276724	0.102676	0.0907414	0.140579	0.0771669	0.0790288	0.363454	0.228177	0.0902092	0.127649	0.0776139	0.0287493	0.327628	0.270291	0.0136057	0.380436	0.0311413	0.0209202	0.468298	0.0855983	0.00209498	0.0664295	0.500724	3.43075	0.384753	0.352981	0.0612779	0.200988	10.2438
10	-13164.8	-13088.7	-76.1445	0.235725	0.469634	0.107244	0.139284	0.214432	0.225612	0.177309	0.29409	0.306584	0.282245	0.339169	0.344598	0.480489	0.295815	0.258599	0.145232	0.2983	0.206752	0.533889	0.243719	0.320704	0.266248	0.561784	0.159336	0.172886	0.256835	0.00784308	0.0431298	0.0436142	0.186492	0.491397	0.102676	0.137905	0.140579	0.0999491	0.0469295	0.324113	0.197654	0.0757695	0.130927	0.0713998	0.0163556	0.19378	0.113669	0.0145711	0.40931	0.0333511	0.0339582	0.445351	0.0634582	0.00151187	0.0565922	0.470399	3.4715	0.364789	0.356129	0.0652071	0.213875	9.52497
20	-13162.3	-13090.3	-71.9815	0.258698	0.297269	0.147118	0.093172	0.181669	0.255304	0.167338	0.330271	0.409332	0.27156	0.309195	0.304713	0.392415	0.289593	0.323267	0.210902	0.280749	0.166839	0.517	0.210571	0.334678	0.291586	0.525304	0.198884	0.0961588	0.251685	0.0397392	0.10233	0.0436142	0.07882	0.290388	0.0315646	0.0808739	0.129631	0.0383035	0.119135	0.293191	0.225972	0.0594803	0.148719	0.0287001	0.120659	0.231086	0.189434	0.0167617	0.412914	0.038365	0.0200773	0.455761	0.0561216	0.00254217	0.0730396	0.519473	3.40494	0.364789	0.356129	0.0652071	0.213875	9.10822
30	-13165.9	-13089.5	-76.3934	0.252706	0.39916	0.0749322	0.157628	0.274417	0.163623	0.113375	0.221644	0.367041	0.27156	0.279602	0.43241	0.553806	0.282749	0.323267	0.178355	0.249751	0.220786	0.598733	0.160583	0.291873	0.394597	0.570971	0.132293	0.155193	0.272304	0.0163507	0.0929962	0.00965211	0.0734204	0.324249	0.0771057	0.0602171	0.0766863	0.11804	0.145279	0.398202	0.264472	0.0874036	0.193081	0.0894932	0.0586413	0.248354	0.0752295	0.016913	0.416372	0.0387113	0.0202585	0.441482	0.0662627	0.00224028	0.0686511	0.507158	3.42195	0.364789	0.356129	0.0652071	0.213875	9.54952
40	-13164.3	-13088.6	-75.7505	0.2819	0.346801	0.0749322	0.182767	0.247115	0.279685	0.141182	0.295035	0.326762	0.213385	0.382876	0.390878	0.442511	0.19235	0.343175	0.137065	0.402407	0.23639	0.491582	0.26455	0.418203	0.325924	0.598773	0.160891	0.110586	0.294097	0.0184534	0.084004	0.0377004	0.0854805	0.292077	0.0918737	0.116136	0.0626777	0.00613341	0.122511	0.31663	0.245624	0.0334066	0.115765	0.0272472	0.0517663	0.288847	0.188392	0.0190171	0.346059	0.0435271	0.0188531	0.496404	0.0761391	0.00394216	0.0905104	0.564115	3.34143	0.370807	0.349161	0.067366	0.212666	9.48465
50	-13162.2	-13087.9	-74.2463	0.2771	0.457433	0.0371475	0.173093	0.257513	0.259949	0.158537	0.230557	0.272841	0.244856	0.343846	0.341535	0.456659	0.297869	0.252985	0.155332	0.228638	0.225589	0.437107	0.279007	0.35443	0.325924	0.507828	0.129078	0.224995	0.218875	0.0184534	0.0833073	0.0574196	0.0576198	0.353853	0.201718	0.133732	0.119389	0.0878332	0.110868	0.241939	0.245474	0.0528004	0.100947	0.0933293	0.0517663	0.29405	0.158205	0.0195786	0.397082	0.0432597	0.0194099	0.478252	0.0424174	0.00362197	0.0868454	0.555265	3.35427	0.361186	0.362048	0.0668632	0.209903	9.33432
60	-13157	-13086.2	-70.7502	0.284021	0.358064	0.0516088	0.150286	0.161341	0.165696	0.183181	0.273951	0.344418	0.219336	0.27517	0.393708	0.381421	0.275275	0.319385	0.155332	0.266156	0.188336	0.455746	0.317983	0.284704	0.25281	0.49231	0.220654	0.131762	0.29326	0.0555279	0.124723	0.0682075	0.0704254	0.325102	0.106434	0.0551608	0.151142	0.113119	0.110868	0.352268	0.216046	0.0979527	0.0895748	0.0489752	0.0517663	0.172544	0.16285	0.0179058	0.366843	0.0410048	0.0177514	0.488138	0.0683573	0.00408887	0.0921376	0.567967	3.33581	0.376825	0.353932	0.0650457	0.204197	8.98458
70	-13158.3	-13093.5	-64.8073	0.254949	0.336842	0.0516088	0.151429	0.259821	0.17047	0.125592	0.269805	0.240052	0.247144	0.320791	0.321391	0.347456	0.319939	0.267353	0.0913562	0.337463	0.133236	0.418114	0.145208	0.29898	0.278408	0.439278	0.186736	0.141214	0.29326	0.0555279	0.0434214	0.0254425	0.147035	0.234487	0.0762607	0.0782663	0.0823696	0.113119	0.036964	0.322261	0.251445	0.0804191	0.0895748	0.0670484	0.0422849	0.279187	0.172807	0.0185127	0.333366	0.0423947	0.0303675	0.504684	0.0706743	0.00235047	0.0702865	0.511807	3.41556	0.370016	0.355991	0.0686089	0.205385	8.39087
80	-13154.3	-13093.1	-61.1817	0.269501	0.432762	0.064235	0.144008	0.130438	0.246962	0.0846859	0.300333	0.282844	0.148107	0.301109	0.397136	0.418903	0.228843	0.283483	0.160798	0.281571	0.181519	0.377436	0.166727	0.244895	0.252648	0.36077	0.145695	0.135558	0.219065	0.0241909	0.0840393	0.0254425	0.124495	0.275597	0.0965994	0.0958931	0.0892753	0.0425071	0.0860406	0.29283	0.213994	0.0695726	0.0931989	0.0487683	0.0312097	0.177314	0.166518	0.0172365	0.383009	0.0394723	0.0252787	0.469894	0.0651095	0.00314779	0.0810915	0.540848	3.37491	0.40487	0.338392	0.0664396	0.190298	8.02802
90	-13159.8	-13097.1	-62.7591	0.282569	0.337585	0.0826962	0.188434	0.169999	0.172792	0.0874322	0.277558	0.289275	0.204142	0.289388	0.3584	0.375702	0.269365	0.226133	0.0706351	0.306106	0.170269	0.397493	0.210897	0.296519	0.245058	0.429182	0.195691	0.108946	0.229611	0.0131796	0.090926	0.0426201	0.0745859	0.242672	0.0636937	0.11676	0.0798808	0.0866482	0.0453572	0.358632	0.222262	0.0967415	0.113584	0.113622	0.0343602	0.250851	0.149817	0.0194326	0.336611	0.0335136	0.0168896	0.525325	0.0682282	0.00398809	0.0910231	0.565334	3.33966	0.380184	0.342051	0.069062	0.208703	8.1855
