Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-180.912	0	-180.912	0.23302	0.244717	0.0232076	0.0286666	0.114207	0.424523	0.00979351	0.211948	0.182932	0.152203	0.0422118	0.0194534	0.0337262	0.092698	0.0441294	0.143281	0.140321	0.078242	0.13799	0.121744	0.100323	0.0729757	0.0285983	0.115231	0.0217557	0.2334	0.0234445	0.0642611	0.0280823	0.00167312	0.00385412	0.0652467	0.000728781	0.10851	0.0971023	0.0356441	0.214353	0.02096	0.0172808	0.279507	0.0372426	0.101174	0.0570488	0.00530995	0.405325	0.414505	0.180024	2.54159e-08	1.33951e-05	0.00013224	0.00141258	0.054732	0.464285	3.47957	0.0220688	0.1946	0.400821	0.382511	3.9797
10	-173.149	0	-173.149	0.148147	0.0976593	0.131349	0.0286666	0.16607	0.424523	0.000203836	0.0488022	0.164851	0.0900751	0.0218925	0.0445734	0.0337262	0.00974584	0.0441294	0.0684455	0.140321	0.233414	0.00149835	0.121744	0.0569283	0.0100398	0.112954	0.1582	0.0627472	0.0625037	0.15909	0.177093	0.00367986	0.108798	0.0047688	0.0448892	0.0616782	0.0775025	0.0971023	0.0232778	0.236184	0.0279277	0.0387022	0.246908	0.0713867	0.144136	0.225498	0.0106549	0.541584	0.264982	0.188114	1.16996e-08	6.16609e-06	0.00531316	4.72977e-05	0.0101623	0.23623	3.75356	0.00811021	0.454497	0.264196	0.273198	4.09434
20	-172.146	0	-172.146	0.233431	0.108513	0.131349	0.0216307	0.144745	0.0123822	0.00022577	0.0596654	0.0640263	0.0152253	0.0218925	0.120144	0.0144028	0.00974584	0.142	0.00540601	0.154521	0.125245	0.0314123	0.0246075	0.0569283	0.0139607	0.112954	0.1665	0.178526	0.1173	0.272871	0.120057	0.0324266	0.099051	0.146155	0.119562	0.0367284	0.293933	0.103743	0.0232778	0.236184	0.0528978	0.0754344	0.047407	0.0952667	0.291939	0.225498	0.00727805	0.273299	0.267633	0.457073	4.38677e-09	2.31199e-06	0.00199218	0.00142735	0.0550129	0.465217	3.47834	0.00580663	0.19524	0.393232	0.405721	4.13302
30	-169.824	0	-169.824	0.178551	0.174499	0.0247012	0.0128896	0.260833	0.183669	0.106451	0.0649429	0.0640263	0.0199693	0.0218925	0.00906409	0.0144028	0.053554	0.0259527	0.0981065	0.0348501	0.125245	0.192589	0.0237925	0.0421212	0.148785	0.112954	0.191597	0.178526	0.1173	0.272871	0.120057	0.0030096	0.0303493	0.146155	0.0270894	0.0367284	0.0520394	0.235991	0.0378127	0.10398	0.0585453	0.0903102	0.0371189	0.000650492	0.0844992	0.225498	0.0271285	0.334187	0.401318	0.262887	3.5358e-09	1.86349e-06	0.00160572	0.000231694	0.0223894	0.325415	3.65196	0.00644134	0.216581	0.319621	0.457357	3.89255
40	-177.898	0	-177.898	0.197664	0.174499	0.0247012	0.0707548	0.0191041	0.0296877	0.0111122	0.243611	0.121117	0.423362	0.0218925	0.0306567	0.00358832	0.0756849	0.00416583	0.255052	0.00248278	0.28093	0.192589	0.0116174	0.109905	0.0843415	0.0326942	0.098494	0.178526	0.0272813	0.132318	0.120057	0.01435	0.0226807	0.0429839	0.0270894	0.171337	0.129257	0.553629	0.196398	0.10398	0.00440924	0.0903102	0.0395621	0.221751	0.0483482	0.074971	0.0271285	0.297297	0.342575	0.359463	1.46401e-09	7.71584e-07	0.000664854	0.000489565	0.0324385	0.377532	3.58954	0.00562182	0.173761	0.278956	0.541661	4.54841
50	-169.004	0	-169.004	0.0149401	0.312908	0.056617	0.0707548	0.0425189	0.0480039	0.184104	0.0312941	0.0167734	0.0164004	0.0510217	0.0933858	0.0185514	0.0173709	0.00960231	0.289912	0.013795	0.0529473	0.0447454	0.0435969	0.109905	0.0843415	0.00889314	0.151848	0.184757	0.00892481	0.180229	0.120057	0.0148039	0.0216633	0.150573	0.00993631	0.171337	0.141051	0.42945	0.00336347	0.188149	0.0108215	0.0191883	0.0395621	0.00522451	0.0483482	0.074971	0.0864905	0.158871	0.454076	0.386697	7.82342e-10	4.12322e-07	0.000355287	2.81781e-41	7.94464e-21	7.28873e-09	4	0.00536536	0.448458	0.266231	0.279946	3.67819
60	-171.987	0	-171.987	0.0244393	0.291992	0.056617	0.00210052	0.0822246	0.119683	0.182506	0.0270008	0.227061	0.0605504	0.0510217	0.113115	0.0137874	0.00672843	0.020407	0.0354836	0.00956521	0.162732	0.00556802	0.0967891	0.133372	0.0978051	0.354231	0.0803665	0.140218	0.000494503	0.180229	0.159832	0.0363601	0.0395431	0.151812	0.0278197	0.171337	0.00548596	0.215348	0.0444196	0.136587	0.0394199	0.085504	0.034017	0.00522451	0.0456493	0.074971	0.108708	0.106192	0.429034	0.464581	4.23039e-10	2.22957e-07	0.000192116	1.29591e-25	5.38328e-13	1.29533e-05	3.99999	0.00278891	0.45728	0.139396	0.400535	3.93369
70	-186.91	0	-186.91	0.0264687	0.144442	0.000766828	0.178551	0.116567	0.00425974	0.0216523	0.409291	0.227061	0.0605504	0.0362275	0.0318907	0.134762	0.00672843	0.170374	0.100046	0.00956521	0.0999674	0.0502163	0.0619464	0.248761	0.0978051	0.03742	0.314718	0.237581	0.425412	0.479432	0.159832	0.0386385	0.0445415	0.0930916	0.0278197	0.171337	0.0140145	0.215348	0.0444196	0.2757	0.0518234	0.085504	0.0716586	0.152906	0.00982164	0.0500255	0.108708	0.0699372	0.264096	0.665849	2.58668e-10	1.36327e-07	0.00011747	1.00271e-23	4.73446e-12	3.19287e-05	3.99997	0.00433251	0.499778	0.21655	0.279339	5.32118
80	-161.6	0	-161.6	0.411215	0.0712825	0.0284879	0.0347358	0.0440189	0.0175103	0.0491965	0.132572	0.0116706	0.0558409	0.0210853	0.191679	0.0030719	0.00672843	0.130602	0.0315811	0.0105098	0.272978	0.0896969	0.0597368	0.023416	0.0101475	0.137631	0.144909	0.0129571	0.0372501	0.145179	0.252191	0.120679	0.0668307	0.0930916	0.0116395	0.0373162	0.0336285	0.309745	0.0314127	0.0859979	0.0396258	0.085504	0.0716586	0.152906	0.0378368	0.0500255	0.103627	0.239914	0.467217	0.292674	4.2691e-10	2.24997e-07	0.000193874	0.018365	0.190083	0.743136	3.04842	0.0261556	0.499349	0.216417	0.258078	3.35819
90	-163.06	0	-163.06	0.205931	0.280468	0.0514521	0.00120929	0.196194	0.0175103	0.075708	0.132572	0.101857	0.00757718	0.0379638	0.191679	0.01216	0.00226504	0.0370463	0.0315811	0.0946944	0.189335	0.0896969	0.0517578	0.0155629	0.00817662	0.0832183	0.0933976	0.0230367	0.0354362	0.145179	0.0911174	0.145873	0.168234	0.0930916	0.0654423	0.0406249	0.0354688	0.309745	0.153956	0.0859979	0.0549562	0.108837	0.0662721	0.152906	0.0346836	0.182439	0.216916	0.241809	0.190416	0.562083	5.18314e-10	2.7317e-07	0.00569216	0.000648052	0.0372655	0.398958	3.56313	0.0170127	0.220513	0.348852	0.413622	4.0133
