Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-15723.1	-15707.6	-15.4679	0.0837122	0.100635	0.118267	0.0916755	0.125943	0.0968502	0.081076	0.139758	0.0931693	0.0789257	0.0831977	0.138189	0.0889627	0.0897383	0.0895864	0.121278	0.132595	0.0719732	0.116791	0.116217	0.0799806	0.0868632	0.0777537	0.0183086	0.0361271	0.0282286	0.0458757	0.0393327	0.059189	0.0247913	0.0169129	0.0246359	0.0301061	0.0132776	0.0420555	0.0327377	0.0207734	0.0453474	0.0307522	0.048167	0.0104221	0.0224167	0.0724491	2.96504
10	-15722.8	-15706	-16.7445	0.0995024	0.106975	0.114315	0.0726494	0.136368	0.0969811	0.0972613	0.103513	0.0871087	0.0689394	0.0907207	0.148065	0.0678655	0.105822	0.133686	0.116913	0.166765	0.0851033	0.101892	0.123172	0.0753715	0.0906584	0.079887	0.0293689	0.0413445	0.027646	0.0477347	0.0310282	0.0630715	0.0276692	0.0110446	0.0414787	0.0275471	0.0241152	0.0458516	0.041215	0.0321497	0.0559892	0.0247841	0.0394684	0.0155966	0.0266034	0.0694629	3.0927
20	-15730.2	-15715.3	-14.9119	0.0747702	0.106975	0.103988	0.0836492	0.1361	0.122618	0.0659519	0.10831	0.111033	0.0914503	0.0802623	0.135352	0.0588606	0.0879202	0.100716	0.100758	0.162201	0.0667908	0.114107	0.10822	0.0533672	0.0866573	0.0698727	0.0237535	0.0374292	0.0201759	0.0350643	0.0477607	0.0548708	0.0436087	0.016362	0.0171545	0.0273943	0.0232993	0.0422384	0.0194368	0.031382	0.0447175	0.0393846	0.0414197	0.0104492	0.0266034	0.0770031	2.90944
30	-15722.2	-15706.2	-16.056	0.0946041	0.115823	0.114558	0.0746969	0.125999	0.0892517	0.0811519	0.116877	0.0976358	0.0805098	0.0844629	0.124558	0.0702175	0.0916382	0.0867519	0.122932	0.164836	0.0787469	0.128573	0.125771	0.0498795	0.0935729	0.0635538	0.0232168	0.0305075	0.0224211	0.0465824	0.0421312	0.0573888	0.0434348	0.0195238	0.0297142	0.0194041	0.0145238	0.0549984	0.0353324	0.0280225	0.055024	0.0365636	0.0557099	0.0306365	0.0219702	0.0801482	3.02386
40	-15735.3	-15719.7	-15.637	0.100671	0.105398	0.107054	0.0727582	0.133746	0.0865401	0.0779603	0.124424	0.0734359	0.0833936	0.0598614	0.117197	0.0860988	0.0895834	0.100523	0.112985	0.14907	0.095638	0.120135	0.126455	0.0641605	0.0800045	0.0715041	0.0308381	0.0342757	0.0267048	0.0478513	0.0421312	0.0396099	0.0371205	0.012863	0.0232064	0.0141091	0.0457886	0.0291308	0.0407629	0.0154747	0.055626	0.0270053	0.0603125	0.0297726	0.0303936	0.100376	2.98195
50	-15724.2	-15707.9	-16.3143	0.0860159	0.0981248	0.103533	0.0671172	0.133724	0.101211	0.0660091	0.116414	0.0689606	0.0952659	0.0781748	0.147401	0.0750061	0.113798	0.123268	0.10968	0.14907	0.0737433	0.131635	0.116088	0.0609632	0.103381	0.0728846	0.0273032	0.0389526	0.0258888	0.0478513	0.0363995	0.0862942	0.0428028	0.0177604	0.0272562	0.0191494	0.0208648	0.0456083	0.0236579	0.0302242	0.0470645	0.0419776	0.0500156	0.0221131	0.0276821	0.0793455	3.04968
60	-15725.4	-15709.4	-15.9464	0.0860159	0.0943813	0.103731	0.082661	0.097263	0.105012	0.0943609	0.116936	0.107635	0.0763228	0.084012	0.142111	0.0764954	0.0906358	0.113802	0.101377	0.146773	0.079671	0.113294	0.14316	0.0607051	0.0999075	0.0849619	0.0272781	0.0484558	0.0185311	0.0648753	0.0395049	0.0686066	0.0402457	0.0218746	0.029995	0.0139902	0.0238578	0.0500639	0.025083	0.0231485	0.0471791	0.022531	0.0444115	0.0162734	0.0149928	0.0707693	3.01289
70	-15726.8	-15710.3	-16.5241	0.0736015	0.107453	0.110738	0.0755022	0.144803	0.12361	0.0787714	0.111905	0.0830393	0.0953445	0.0813241	0.139667	0.0755749	0.0953327	0.1262	0.108778	0.158308	0.089826	0.118112	0.123127	0.0633258	0.0850344	0.0749647	0.0323701	0.0256435	0.0444637	0.0549491	0.0253655	0.0619341	0.0347815	0.0167405	0.0184436	0.0285177	0.021532	0.049039	0.037198	0.0216628	0.0523205	0.0392235	0.0443328	0.0193548	0.0201545	0.0782969	3.07067
80	-15732.9	-15716.4	-16.4536	0.0793158	0.0998188	0.101565	0.0879699	0.140849	0.0978349	0.0717512	0.118673	0.105897	0.0960617	0.0737585	0.127147	0.103776	0.0956325	0.128937	0.101593	0.161279	0.0983761	0.0888021	0.112017	0.0507962	0.126266	0.0768736	0.0263567	0.0410115	0.021847	0.0581429	0.0292438	0.0671168	0.0289835	0.0259696	0.0297605	0.0208252	0.0125613	0.0324125	0.030954	0.0396469	0.0801463	0.0249039	0.0498835	0.0117074	0.0268395	0.0603095	3.06361
90	-15730.4	-15714	-16.4213	0.109825	0.115566	0.104812	0.0532365	0.115306	0.0910223	0.079519	0.133128	0.0926341	0.0776637	0.0837458	0.128311	0.0778624	0.0753137	0.133553	0.101848	0.167439	0.0772501	0.126569	0.124467	0.0694629	0.0902379	0.0947844	0.0265925	0.0428009	0.03333	0.0437622	0.0298709	0.0866658	0.0322088	0.0224139	0.0449968	0.0210826	0.0242004	0.0310887	0.0278178	0.0355881	0.0549504	0.0421186	0.0435265	0.0155641	0.01705	0.0611996	3.06038
100	-15723.4	-15707	-16.3757	0.0828416	0.102348	0.128358	0.0786138	0.130612	0.0886132	0.0811789	0.114311	0.0991421	0.0782479	0.0754234	0.137571	0.0851458	0.107792	0.100481	0.106077	0.166298	0.0907184	0.115031	0.10494	0.0748025	0.0892029	0.0747694	0.0348695	0.0516836	0.0186701	0.0432393	0.036052	0.0801145	0.0359495	0.0153182	0.0409014	0.0184905	0.0170445	0.050653	0.0232784	0.0248963	0.0399828	0.0341417	0.0408828	0.0155641	0.0421553	0.0794184	3.05582
110	-15724.6	-15707.9	-16.6989	0.0785204	0.102348	0.101973	0.0714931	0.144564	0.102	0.0766495	0.0928393	0.102211	0.101819	0.0825645	0.136794	0.0851458	0.0992582	0.102347	0.11798	0.171507	0.0817204	0.113871	0.144568	0.0666012	0.0770425	0.0894422	0.0249594	0.0403927	0.0410514	0.0349639	0.0374255	0.0666831	0.0433975	0.0272687	0.0338302	0.0184905	0.0148589	0.048922	0.0284477	0.0351377	0.0475726	0.0388679	0.0386499	0.0161858	0.0302129	0.0775717	3.08815
120	-15725.4	-15710	-15.3487	0.0875044	0.0870192	0.0881452	0.0742762	0.137703	0.108749	0.0590777	0.105014	0.0863401	0.0731235	0.0907713	0.127824	0.0732926	0.0928985	0.104932	0.108637	0.178211	0.0913769	0.09885	0.124232	0.0611971	0.085771	0.0892323	0.016464	0.0400004	0.0216087	0.0378686	0.0384256	0.0672559	0.0387436	0.0300586	0.0281125	0.0159806	0.0260729	0.0415215	0.0222646	0.0238357	0.0574292	0.0527327	0.053082	0.0137642	0.0239244	0.0697974	2.95312
130	-15723.2	-15706.9	-16.2912	0.11588	0.105301	0.110091	0.0657878	0.119092	0.100513	0.0644462	0.113607	0.0863817	0.0677266	0.0718281	0.142938	0.0923538	0.0944214	0.103683	0.113269	0.167547	0.083127	0.0879289	0.147688	0.0677994	0.0955243	0.0992786	0.0223253	0.0572129	0.0395211	0.0385595	0.0369603	0.0629093	0.0416395	0.0232067	0.0243692	0.0191678	0.020051	0.0450699	0.0222646	0.0279249	0.0573914	0.0288431	0.0434729	0.0198973	0.0307409	0.0696325	3.04737
140	-15718.7	-15702.9	-15.7961	0.0884186	0.114775	0.103021	0.0701951	0.10196	0.0978669	0.0743399	0.129805	0.0825304	0.080259	0.0671459	0.130396	0.0832945	0.0964583	0.111977	0.10807	0.153879	0.0751207	0.107986	0.126187	0.0690522	0.115182	0.0901584	0.0408027	0.0412405	0.0326476	0.039136	0.0349731	0.0785853	0.0340096	0.0191938	0.0281447	0.0191678	0.0202059	0.0398196	0.0264246	0.0264106	0.0575389	0.0256056	0.0437867	0.0150378	0.0284972	0.0685641	2.99787
150	-15721.9	-15705	-16.8729	0.105652	0.101911	0.125854	0.0691545	0.108491	0.0993115	0.0876509	0.124534	0.123299	0.0874577	0.0906448	0.136141	0.0912059	0.085409	0.108075	0.121321	0.164397	0.0811832	0.100108	0.137301	0.0633238	0.080858	0.0901584	0.0251842	0.0412405	0.0216281	0.043321	0.0379447	0.0875679	0.0408914	0.0236552	0.0281447	0.0124176	0.0170856	0.0343021	0.0319654	0.0253832	0.0566129	0.0375932	0.0466945	0.015775	0.0252954	0.0694022	3.10555
160	-15729.7	-15712.8	-16.9589	0.0964619	0.108019	0.0960424	0.0883578	0.130744	0.0948908	0.0635508	0.114009	0.126919	0.0723514	0.0794964	0.156	0.0887929	0.0917771	0.116622	0.126314	0.164397	0.0902176	0.124285	0.128248	0.0579237	0.0840962	0.0664683	0.0453805	0.0477795	0.0200702	0.0410352	0.0310846	0.0484791	0.0565323	0.0238907	0.033255	0.0218572	0.0170856	0.0371201	0.0315261	0.0373951	0.056552	0.0313577	0.0644833	0.0175893	0.0240536	0.0616309	3.11414
170	-15729.3	-15713.2	-16.0977	0.0881596	0.108019	0.1018	0.0634266	0.125205	0.0874763	0.084259	0.130521	0.0728375	0.0751219	0.082405	0.153255	0.105166	0.117544	0.127072	0.103622	0.169954	0.0721773	0.120944	0.12422	0.0603667	0.0810832	0.0806472	0.0192851	0.0285003	0.0287995	0.0388854	0.0448445	0.0612033	0.0421362	0.024989	0.033255	0.023793	0.0179859	0.0381602	0.024612	0.0333986	0.0479425	0.044916	0.0343183	0.0241934	0.0294344	0.0520851	3.02802
180	-15723.6	-15707.1	-16.5216	0.0899264	0.108236	0.10398	0.0724114	0.128157	0.0914336	0.0790332	0.135591	0.0718057	0.082232	0.0816107	0.147123	0.0776848	0.101869	0.112967	0.100834	0.183254	0.0711909	0.124139	0.127665	0.0508041	0.0911009	0.0706428	0.0250179	0.0452382	0.0379823	0.0460777	0.0517915	0.0700295	0.0389616	0.0356052	0.033255	0.0246437	0.0202757	0.0529531	0.0309138	0.0319359	0.0533119	0.0179218	0.0515287	0.0102023	0.0285022	0.0605758	3.07042
