Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
0	-22054.2	-21979.6	-74.619	1.12858	0.604142	0.5282	1.09635	1.036	0.283414	0.975928	0.00049032	1.01794	0.191344	0.396012	0.00247803	0.354406	0.33591	0.00580615	0.45243	0.571779	0.318936	0.684938	0.11016	0.466567	10.5618
10	-22048.4	-21977.1	-71.326	1.21463	0.714198	0.565394	1.17302	0.885031	0.305275	0.833059	0.00127367	0.815053	0.140084	0.491776	0.00229759	0.435088	0.33591	0.00640909	0.428569	0.546659	0.213242	0.67483	0.0831226	0.367571	10.2325
20	-22054	-21982.6	-71.381	0.919061	0.622576	0.535166	1.06371	0.885378	0.208634	0.957453	0.00035812	1.0348	0.190483	0.478222	0.00485634	0.407607	0.423469	0.00144502	0.589112	0.608916	0.123419	0.681417	0.0831226	0.41879	10.238
30	-22050	-21978.8	-71.1274	1.33328	0.579732	0.60299	1.10922	0.932856	0.261181	0.834135	0.00110116	0.851286	0.177801	0.414795	0.00856354	0.396556	0.289944	0.0159257	0.354936	0.578001	0.17149	0.763429	0.0561116	0.479298	10.2126
40	-22053.8	-21977.1	-76.7503	1.26375	0.648113	0.608643	1.38035	0.897585	0.345472	0.901826	0.000306974	0.923423	0.1481	0.428559	0.00536249	0.453637	0.366771	0.0437186	0.606612	0.431628	0.156867	0.681134	0.192455	0.29061	10.7749
50	-22065	-21989.1	-75.8675	1.08911	0.4457	0.755068	1.24839	0.714116	0.303479	0.945859	0.00244317	1.06676	0.10757	0.429318	0.00298205	0.49953	0.338902	0.275931	0.505697	0.696251	0.100519	0.389768	0.245798	0.523468	10.6867
60	-22053.9	-21977.9	-75.9683	1.17187	0.818137	0.565739	1.32932	0.797666	0.261785	1.03169	0.00138853	0.839705	0.125155	0.464663	0.00561416	0.445809	0.358712	0.275931	0.516498	0.734651	0.029633	0.510676	0.0305066	0.381595	10.6967
70	-22052.1	-21977.9	-74.1298	1.32874	0.498272	0.589281	1.30547	0.899729	0.340097	0.808428	0.0014114	1.08169	0.122537	0.393438	0.00170803	0.476168	0.204155	0.212331	0.416647	0.583967	0.109512	0.650683	0.0820617	0.406553	10.5129
80	-22048.8	-21975.3	-73.565	1.20964	0.580072	0.648866	1.14839	0.932439	0.276275	0.980983	0.00238012	0.747087	0.125749	0.462591	0.00518739	0.466322	0.3445	0.186371	0.408559	0.629666	0.0946201	0.608816	0.0805195	0.517363	10.4564
90	-22047.7	-21975.1	-72.6367	1.25639	0.64181	0.530936	1.2318	0.965438	0.257333	0.924481	0.00190718	0.93899	0.159544	0.473586	0.00795944	0.415878	0.432014	0.139037	0.387864	0.476382	0.108688	0.601338	0.0911383	0.321052	10.3636
100	-22047	-21973.1	-73.8501	1.15392	0.484571	0.635829	1.35656	0.963031	0.291772	1.01296	0.0006781	0.829066	0.155642	0.411433	0.00378985	0.463287	0.314316	0.0239252	0.523772	0.554926	0.0952739	0.621098	0.125325	0.463736	10.4849
110	-22050.6	-21982.8	-67.8037	1.05402	0.505716	0.613484	1.15921	0.817961	0.254784	0.795623	7.85688e-05	0.739141	0.122194	0.498046	0.00310494	0.480135	0.260148	0.24287	0.53013	0.668389	0.0576028	0.595602	0.0938011	0.388231	9.88027
120	-22053.9	-21978.6	-75.2953	0.978918	0.688225	0.698864	1.37164	0.833157	0.250129	1.02359	0.000108454	0.883946	0.165587	0.458585	0.00229658	0.417941	0.260148	0.0508778	0.553927	0.673494	0.235529	0.613602	0.045066	0.423795	10.6294
130	-22054.2	-21977.4	-76.8212	1.07516	0.64417	0.698864	1.41503	0.933556	0.223004	1.05735	0.00205635	0.847744	0.141778	0.503573	0.0033528	0.462031	0.248694	0.0455197	0.699523	0.534867	0.0467163	0.713633	0.155663	0.329737	10.782
140	-22044.6	-21970.3	-74.3699	1.22655	0.577038	0.674291	1.12925	0.969168	0.286794	0.896881	0.00146834	1.02021	0.143782	0.443045	0.00426361	0.446353	0.275971	0.205688	0.461793	0.484581	0.11674	0.654277	0.0347901	0.483946	10.5369
150	-22051.9	-21982.7	-69.1416	1.11683	0.546329	0.645699	1.13445	0.78629	0.189334	0.828996	0.000688711	0.919242	0.1615	0.432045	0.00604571	0.478131	0.284155	0.138267	0.465863	0.59663	0.123147	0.612703	0.0249176	0.522792	10.0141
160	-22049.9	-21976.2	-73.6738	1.40238	0.586211	0.622231	1.17398	0.769863	0.28868	0.798734	6.57638e-05	0.82659	0.169467	0.474387	0.00510343	0.421758	0.242485	0.150992	0.532102	0.579999	0.145016	0.714736	0.083289	0.479205	10.4673
170	-22051.1	-21979	-72.117	1.05886	0.610404	0.608986	1.30853	0.837418	0.28868	0.857126	0.00148928	0.814306	0.195349	0.434056	0.002053	0.386249	0.439234	0.280296	0.591077	0.455762	0.0646627	0.571568	0.141161	0.364333	10.3116
180	-22052.1	-21980.8	-71.3861	1.14101	0.65953	0.621633	1.19611	0.887592	0.291444	1.06284	0.000609536	0.763848	0.171592	0.377515	0.00735806	0.465472	0.385929	0.309442	0.349368	0.477837	0.115236	0.44521	0.0345227	0.474409	10.2385
190	-22050	-21980.1	-69.8638	0.995811	0.514975	0.641956	1.28426	0.881827	0.238506	0.871314	0.000964645	0.947005	0.152985	0.364236	0.00514836	0.434336	0.254711	0.247302	0.410123	0.510782	0.132573	0.568458	0.0485884	0.58042	10.0863
200	-22047.4	-21975.5	-71.8637	1.13266	0.514975	0.65021	1.05147	0.977401	0.31565	0.981233	0.00540337	0.802664	0.154542	0.419972	0.00291406	0.416624	0.277552	0.230206	0.504569	0.550527	0.215292	0.550815	0.0938793	0.437704	10.2863
210	-22051.6	-21978.4	-73.2879	1.23321	0.649622	0.524156	1.21546	0.895953	0.234426	1.01721	0.000705265	0.927056	0.119011	0.440274	0.00702933	0.441236	0.282015	0.1169	0.551591	0.483632	0.0583385	0.622893	0.242004	0.365975	10.4287
220	-22054.6	-21980.3	-74.3009	1.24809	0.644113	0.619563	1.20708	0.959086	0.311851	1.03226	0.00153621	0.726168	0.182301	0.40448	0.00725018	0.374752	0.365025	0.0809018	0.400839	0.474961	0.24319	0.583523	0.149204	0.513812	10.53
230	-22049.6	-21976	-73.5256	1.14619	0.577479	0.659876	1.18633	0.887904	0.347783	1.09242	4.35064e-05	0.959111	0.21235	0.328691	0.00762906	0.364453	0.38182	0.020776	0.518232	0.559692	0.156295	0.695185	0.0355604	0.314642	10.4525
240	-22053.2	-21977.3	-75.8889	1.10504	0.615606	0.659876	1.37885	0.978202	0.275995	1.02233	0.000959343	0.901329	0.21235	0.454689	0.00742491	0.377062	0.319892	0.0126319	0.496688	0.679658	0.170136	0.634527	0.0643679	0.321171	10.6888
250	-22051	-21979.1	-71.875	1.236	0.407059	0.737287	1.19028	0.794371	0.290411	0.813678	0.00497927	0.964486	0.211637	0.416481	0.00215518	0.372219	0.349023	0.0932102	0.601795	0.618141	0.184919	0.651214	0.0272605	0.32079	10.2874
260	-22052.1	-21975.9	-76.1776	1.1005	0.612224	0.623909	1.36087	0.985205	0.204114	1.01881	0.00583751	0.81329	0.167599	0.528807	0.00122037	0.393935	0.41271	0.16053	0.512602	0.57951	0.0598848	0.6135	0.0563895	0.506205	10.7177
270	-22047.2	-21974.9	-72.2217	1.14627	0.647619	0.549174	1.32577	0.936479	0.320514	0.926028	0.00425534	0.773329	0.176203	0.435508	0.000121559	0.400837	0.304747	0.154983	0.507922	0.639433	0.112582	0.554642	0.0306126	0.375037	10.3221
280	-22056.4	-21985.3	-71.1353	1.24449	0.562528	0.687061	1.11397	0.910728	0.285019	0.581358	0.00425534	0.775328	0.176203	0.540905	0.00233183	0.416206	0.304747	0.272228	0.488051	0.707028	0.127726	0.571269	0.102423	0.339577	10.2134
290	-22056.1	-21984.1	-71.9877	1.15549	0.413835	0.592897	1.13864	0.839671	0.287212	0.852421	0.00584467	0.971545	0.169634	0.486685	0.00565347	0.420339	0.436408	0.197458	0.456064	0.703657	0.152773	0.552326	0.057192	0.402917	10.2987
300	-22056.4	-21982.6	-73.8474	1.09636	0.560115	0.55274	1.45651	1.0752	0.345751	0.792389	0.000407615	0.819047	0.27646	0.451725	0.00515258	0.344755	0.398893	0.181505	0.518177	0.603665	0.0829789	0.519744	0.0431469	0.359918	10.4846
310	-22047.6	-21973.3	-74.3735	1.2341	0.578991	0.674264	1.16842	0.963732	0.311892	0.984874	0.00247848	0.848701	0.192356	0.40818	0.00371991	0.443583	0.418395	0.113293	0.447971	0.499754	0.123075	0.586145	0.175879	0.357445	10.5372
320	-22054	-21979.2	-74.7979	1.13147	0.510451	0.604809	1.60646	0.95892	0.182344	0.92112	0.00173273	0.816158	0.164681	0.533626	0.00307713	0.429688	0.179503	0.0254289	0.420645	0.644447	0.101803	0.767553	0.140746	0.435025	10.5797
330	-22052.2	-21981.1	-71.0823	1.07609	0.431786	0.681953	1.14289	0.798525	0.336815	0.983495	0.00162561	0.998255	0.201619	0.357108	0.00205004	0.409161	0.283473	0.129262	0.519797	0.496294	0.138633	0.712097	0.0714877	0.435716	10.2081
340	-22052.4	-21979.1	-73.326	1.30026	0.726764	0.560876	1.06723	0.886057	0.315129	0.851578	0.00107621	0.765083	0.195515	0.419961	0.00567205	0.358068	0.410903	0.119148	0.453864	0.70139	0.148849	0.744333	0.0727446	0.327998	10.4325
350	-22049.5	-21980.3	-69.2055	1.0441	0.634089	0.681846	1.16382	0.78996	0.272507	0.946499	0.00283152	0.817306	0.189392	0.418411	0.00303499	0.394928	0.290994	0.0500428	0.484768	0.599683	0.103492	0.645974	0.121936	0.364827	10.0204
360	-22054.5	-21978.3	-76.216	0.974436	0.675005	0.679089	1.20673	0.975447	0.218195	0.862508	0.000177442	1.15104	0.179859	0.447544	0.00711501	0.385194	0.368609	0.0500428	0.484768	0.638343	0.261558	0.630779	0.0108818	0.514181	10.7215
370	-22050.7	-21978.6	-72.074	0.985514	0.509655	0.580382	1.35989	0.912876	0.295152	1.05317	0.000103738	0.834809	0.173282	0.389792	0.0067538	0.442931	0.278268	0.134739	0.501191	0.579712	0.0967077	0.630036	0.0285535	0.513785	10.3073
380	-22057.8	-21988.2	-69.6613	1.12773	0.487175	0.647659	1.04109	0.986073	0.313232	0.76691	0.0111974	1.00311	0.182144	0.400468	0.00200154	0.411079	0.435055	0.221011	0.499687	0.421128	0.170215	0.535694	0.0318419	0.371528	10.066
390	-22057.8	-21987.8	-69.984	1.24375	0.647878	0.617797	1.122	0.776864	0.287425	0.631487	0.0029377	1.08962	0.18261	0.369653	0.00917595	0.389579	0.435055	0.17916	0.582845	0.546192	0.0397603	0.628182	0.000524149	0.315797	10.0983
400	-22049.8	-21980.8	-69.0619	1.06325	0.482692	0.659853	1.19685	0.806548	0.235721	0.84157	0.00455029	1.02716	0.13534	0.435447	0.00218622	0.420976	0.355935	0.138675	0.530743	0.565616	0.143859	0.625476	0.00133174	0.332307	10.0061
410	-22052.5	-21977.6	-74.911	1.04574	0.562496	0.718805	1.26415	0.949393	0.323443	0.909415	0.000317089	0.951224	0.214941	0.358829	0.00872659	0.400784	0.405472	0.163614	0.475117	0.494183	0.16024	0.785632	0.0137678	0.384708	10.591
420	-22050.6	-21979.5	-71.1755	1.07586	0.656813	0.551517	1.31244	0.952993	0.323242	0.802866	0.00236986	0.86095	0.156086	0.339875	0.000268009	0.393967	0.430728	0.112307	0.486837	0.503332	0.149436	0.717299	0.0291587	0.359107	10.2175
430	-22048.6	-21972	-76.5601	1.12756	0.593362	0.64511	1.36467	0.978052	0.266424	0.955046	0.00429512	0.876134	0.189835	0.418182	0.000682437	0.386269	0.407385	0.222981	0.486837	0.675499	0.140051	0.587957	0.0512475	0.378332	10.7559
440	-22050.5	-21974.4	-76.1519	1.22334	0.453295	0.70675	1.36467	0.940765	0.243779	0.961387	0.00322791	0.932101	0.13303	0.555387	0.00183727	0.442919	0.281422	0.192507	0.487803	0.642682	0.079131	0.54976	0.0512475	0.468055	10.7151
450	-22057.1	-21991.1	-65.9624	1.07242	0.566834	0.549293	0.897552	0.871182	0.196738	0.80669	0.00322791	0.959574	0.149443	0.503306	0.000531643	0.454079	0.303159	0.18065	0.453437	0.425859	0.254561	0.515489	0.137746	0.394365	9.69614
460	-22049.1	-21977.3	-71.7556	1.24603	0.649516	0.669501	0.983765	0.840654	0.258732	0.954562	0.000882751	0.916698	0.15702	0.435266	0.00433656	0.428927	0.305089	0.218601	0.487481	0.547665	0.266791	0.509375	0.0354249	0.359148	10.2755
470	-22048.9	-21980.9	-67.9421	1.04259	0.501766	0.651407	1.11231	0.885181	0.254142	0.846731	0.00242356	0.823752	0.166636	0.401505	0.00373018	0.454844	0.477113	0.127212	0.492893	0.594492	0.159233	0.563735	0.0861561	0.24626	9.89411
480	-22049.5	-21974.3	-75.1643	1.38679	0.522073	0.599413	1.33085	0.932937	0.270215	1.04373	0.000571728	0.825219	0.167044	0.398652	0.00395727	0.375592	0.300109	0.0866586	0.409462	0.607369	0.212571	0.626166	0.136684	0.380265	10.6163
490	-22048.4	-21976.5	-71.9139	1.25196	0.608723	0.655654	1.13409	0.790044	0.319916	1.07405	0.00112958	0.887863	0.153116	0.379851	0.00513248	0.423438	0.224279	0.0557003	0.422511	0.578159	0.246612	0.660008	0.181762	0.23729	10.2913
500	-22049.3	-21979.8	-69.5564	1.09167	0.699767	0.507163	1.08451	0.987347	0.247268	0.88378	0.00331902	0.893781	0.189022	0.391866	0.00250722	0.405737	0.281838	0.0278772	0.410844	0.669192	0.0842933	0.63013	0.172535	0.391087	10.0555
510	-22048.6	-21978.5	-70.015	1.16248	0.578772	0.661647	1.3633	0.818326	0.287816	0.766047	0.00239074	0.9374	0.218663	0.410161	0.00152593	0.373562	0.308402	0.0565724	0.349994	0.524594	0.0964146	0.645985	0.172535	0.364822	10.1014
520	-22050.4	-21977.2	-73.1799	1.13012	0.461057	0.559668	1.35624	0.90012	0.349298	0.989717	0.00138186	1.10053	0.155918	0.398676	0.00283455	0.435981	0.308402	0.165188	0.470775	0.534868	0.14434	0.626605	0.0700734	0.256093	10.4179
530	-22054.6	-21987.1	-67.495	1.09724	0.601638	0.555099	0.889513	0.840316	0.339658	0.779016	0.00311293	0.816299	0.220396	0.412835	0.00225573	0.364808	0.210446	0.169139	0.599053	0.521087	0.203431	0.578157	0.238991	0.406918	9.8494
540	-22052	-21974.7	-77.2853	1.24286	0.592513	0.692738	1.03836	1.0549	0.214522	0.939484	0.00316605	0.947801	0.197592	0.485099	0.00183548	0.415889	0.477412	0.160166	0.460482	0.693833	0.0814909	0.630966	0.0349068	0.462417	10.8284
550	-22059.6	-21985.4	-74.2174	1.17324	0.443066	0.555554	1.11629	0.938788	0.275728	0.97051	0.000424372	0.728201	0.206797	0.381978	0.00538423	0.400436	0.288982	0.263767	0.540795	0.754524	0.195228	0.565007	0.0493397	0.667596	10.5216
560	-22048.2	-21972.8	-75.4385	1.23114	0.486429	0.682844	1.21785	0.864917	0.285399	0.847241	0.00258625	1.0945	0.182587	0.467725	0.00135942	0.422036	0.26966	0.220015	0.605923	0.598428	0.167266	0.597162	0.0361586	0.362527	10.6438
