Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
220	-22120.5	-22045.3	-75.2558	1.04589	0.665646	0.515246	1.25979	0.893281	0.329315	1.08178	0.00101508	0.79003	0.146683	0.482025	0.00569646	0.393905	0.164124	0.151654	0.422827	0.603402	0.178783	0.478326	0.574857	0.441195	10.6255
230	-22118.8	-22043.8	-74.9719	1.12288	0.666305	0.578265	1.32557	0.920124	0.361127	0.775204	0.00540579	0.853349	0.160607	0.377594	0.000499093	0.324372	0.147734	0.0638486	0.488305	0.681355	0.164164	0.419441	0.70087	0.460075	10.5971
240	-22120.3	-22045.9	-74.3797	1.17956	0.5424	0.677113	1.33137	0.756571	0.221823	0.839909	0.00540579	0.919383	0.153443	0.413463	0.000848294	0.487468	0.137253	0.0743329	0.488305	0.695035	0.155329	0.369912	0.66081	0.428135	10.5379
250	-22125.1	-22050.1	-74.9774	1.27134	0.625801	0.57149	0.998828	0.99515	0.211959	0.988567	0.00294851	0.900686	0.138899	0.44614	0.00368564	0.325009	0.276979	0.0791713	0.484483	0.570122	0.264684	0.451856	0.543783	0.446056	10.5976
260	-22121.8	-22046.9	-74.9497	1.16034	0.491266	0.737845	1.3706	0.839966	0.262626	1.03595	0.00553452	0.848301	0.122778	0.422246	0.00234947	0.454775	0.276979	0.0741335	0.488299	0.461965	0.264684	0.232516	0.589784	0.451935	10.5949
270	-22120.3	-22046.1	-74.2779	1.28631	0.557856	0.711055	1.26618	0.945306	0.318032	1.0255	0.00553452	0.763348	0.197949	0.37434	0.000865509	0.434929	0.291042	0.153017	0.393326	0.481204	0.167923	0.176288	0.56316	0.414517	10.5277
280	-22122.2	-22042.1	-80.0765	1.15426	0.502084	0.806647	1.42696	0.867883	0.3188	0.982398	0.00275814	0.943695	0.138493	0.4178	0.00248783	0.391365	0.299564	0.221085	0.540945	0.751444	0.047345	0.191178	0.685784	0.414572	11.1075
290	-22123.4	-22047.2	-76.2308	1.12877	0.57849	0.75349	1.20569	0.91495	0.387907	0.784357	0.00688239	0.908003	0.152532	0.45206	0.00233806	0.316058	0.33874	0.137225	0.43087	0.682026	0.113774	0.206052	0.793927	0.428846	10.723
300	-22124.3	-22044	-80.3288	1.15798	0.66922	0.702654	1.47344	0.904192	0.255323	1.14692	0.00318086	0.96439	0.18418	0.43484	0.00100384	0.271933	0.263871	0.0427875	0.483771	0.638115	0.103453	0.212652	0.794847	0.424019	11.1328
310	-22117.7	-22042.2	-75.572	1.25221	0.57787	0.609175	1.27022	0.889474	0.275572	1.00389	0.00438128	0.863129	0.172358	0.419015	0.000455945	0.353483	0.433938	0.0651624	0.453838	0.680009	0.0660603	0.16216	0.637953	0.466754	10.6571
