Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
22	-22051	-21979.7	-71.3022	1.04035	0.553668	0.640582	1.11253	0.912855	0.308864	1.00916	0.0022329	0.899712	0.188013	0.323397	0.00262718	0.536398	0.334396	0.359238	0.296633	0.547204	0.574179	0.0247667	0.0805869	0.482726	10.2301
23	-22046.3	-21971.7	-74.6953	1.23571	0.600775	0.660728	1.23829	1.00974	0.290197	1.02816	6.55288e-05	0.812225	0.147335	0.442763	0.00495601	0.484576	0.400841	0.404708	0.269217	0.435913	0.539276	0.0883577	0.0223099	0.453285	10.5694
24	-22050.6	-21979.4	-71.2555	1.17041	0.683708	0.586519	1.15497	0.846779	0.316066	1.05208	0.00490786	0.769214	0.148841	0.424066	0.00353725	0.505496	0.30354	0.406922	0.269217	0.415277	0.529127	0.143987	0.0132745	0.477509	10.2254
25	-22054.2	-21974.5	-79.7045	1.28557	0.73644	0.616725	1.50817	0.949772	0.286993	0.878158	0.00124071	0.816626	0.15556	0.390188	0.00284323	0.725185	0.468009	0.432999	0.142598	0.48455	0.763368	0.0496598	0.0490012	0.326697	11.0703
26	-22044.7	-21973.7	-70.963	1.21073	0.589564	0.625289	1.23647	0.76738	0.302137	0.769307	7.13046e-05	0.975806	0.194835	0.419922	0.00315391	0.641177	0.362727	0.39156	0.147012	0.502114	0.487769	0.053647	0.0455672	0.469958	10.1962
27	-22053.2	-21980.8	-72.3612	1.08104	0.483377	0.687088	1.39491	0.933733	0.338623	0.882571	0.00614692	0.796296	0.227476	0.33118	0.00272874	0.583651	0.362727	0.402577	0.140259	0.521102	0.669436	0.0593762	0.0931436	0.338568	10.336
28	-22048.8	-21977.9	-70.8648	1.24889	0.486215	0.527966	1.17079	0.97494	0.264584	0.855971	0.00186149	0.941024	0.163524	0.48132	0.00679893	0.609905	0.257272	0.415095	0.177355	0.358659	0.581003	0.0490748	0.127583	0.486542	10.1864
29	-22047.6	-21973.7	-73.8903	1.17885	0.682531	0.542082	1.36952	0.975415	0.235842	1.00812	0.000750749	0.865817	0.158533	0.424385	0.00647953	0.599344	0.227897	0.417856	0.279234	0.428558	0.597826	0.0574261	0.123392	0.309076	10.4889
30	-22047.8	-21974.3	-73.5001	1.25257	0.623555	0.72626	1.20447	0.826643	0.27421	0.858719	0.0012763	0.865102	0.181027	0.503949	0.00224155	0.639035	0.227897	0.38505	0.0873099	0.639088	0.519485	0.183812	0.0491048	0.399111	10.4499
31	-22045.9	-21970.7	-75.125	1.31031	0.627289	0.563561	1.03588	0.931208	0.308808	0.989562	0.00242517	0.96034	0.172491	0.453541	0.00365199	0.69867	0.327176	0.409569	0.0985975	0.487462	0.540787	0.0982827	0.193675	0.399111	10.6124
